Country,Region,Population,Area,Pop. Density,Infant mortality (per 1000 births),GDP ($ per capita),Birthrate,Deathrate
Chile,LATIN AMER. & CARIB,16134219,756950,21.3,8.8,9900,15.23,5.81
Guadeloupe,LATIN AMER. & CARIB,452776,1780,254.4,8.6,8000,15.05,6.09
Hungary,EASTERN EUROPE,9981334,93030,107.3,8.57,13900,9.72,13.11
Bermuda,NORTHERN AMERICA,65773,53,1241,8.53,36000,11.4,7.74
Poland,EASTERN EUROPE,38536869,312685,123.3,8.51,11100,9.85,9.89
French Polynesia,OCEANIA,274578,4167,65.9,8.44,17500,16.68,4.69
Puerto Rico,LATIN AMER. & CARIB,3927188,13790,284.8,8.24,16800,12.77,7.65
Cayman Islands,LATIN AMER. & CARIB,45436,262,173.4,8.19,35000,12.74,4.89
Virgin Islands,LATIN AMER. & CARIB,108605,1910,56.9,8.03,17200,13.96,6.43
Estonia,BALTICS,1324333,45226,29.3,7.87,12300,10.04,13.25
Reunion,SUB-SAHARAN AFRICA,787584,2517,312.9,7.78,5800,18.9,5.49
New Caledonia,OCEANIA,219246,19060,11.5,7.72,15000,18.11,5.69
St Pierre & Miquelon,NORTHERN AMERICA,7026,242,29,7.54,6900,13.52,6.83
Slovakia,EASTERN EUROPE,5439448,48845,111.4,7.41,13300,10.65,9.45
Montserrat,LATIN AMER. & CARIB,9439,102,92.5,7.35,3400,17.59,7.1
Cyprus,NEAR EAST,784301,9250,84.8,7.18,19200,12.56,7.68
N. Mariana Islands,OCEANIA,82459,477,172.9,7.11,12500,19.43,2.29
Martinique,LATIN AMER. & CARIB,436131,1100,396.5,7.09,14400,13.74,6.48
Korea. South,ASIA,48846823,98480,496,7.05,17800,10,5.85
Israel,NEAR EAST,6352117,20770,305.8,7.03,19800,17.97,6.18
Guam,OCEANIA,171019,541,316.1,6.94,21000,18.79,4.48
Lithuania,BALTICS,3585906,65200,55,6.89,11400,8.75,10.98
Croatia,EASTERN EUROPE,4494749,56542,79.5,6.84,10600,9.61,11.48
United States,NORTHERN AMERICA,298444215,9631420,31,6.5,37800,14.14,8.26
Taiwan,ASIA,23036087,35980,640.3,6.4,23400,12.56,6.48
Cuba,LATIN AMER. & CARIB,11382820,110860,102.7,6.33,2900,11.89,7.22
Faroe Islands,WESTERN EUROPE,47246,1399,33.8,6.24,22000,14.05,8.7
Italy,WESTERN EUROPE,58133509,301230,193,5.94,26700,8.72,10.4
Isle of Man,WESTERN EUROPE,75441,572,131.9,5.93,21000,11.05,11.19
Aruba,LATIN AMER. & CARIB,71891,193,372.5,5.89,28000,11.03,6.68
New Zealand,OCEANIA,4076140,268680,15.2,5.85,21600,13.76,7.53
San Marino,WESTERN EUROPE,29251,61,479.5,5.73,34600,10.02,8.17
Greece,WESTERN EUROPE,10688058,131940,81,5.53,20000,9.68,10.24
Monaco,WESTERN EUROPE,32543,2,16271.5,5.43,27000,9.19,12.91
Ireland,WESTERN EUROPE,4062235,70280,57.8,5.39,29600,14.45,7.82
Jersey,WESTERN EUROPE,91084,116,785.2,5.24,24800,9.3,9.28
United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.16,27700,10.71,10.13
Gibraltar,WESTERN EUROPE,27928,7,3989.7,5.13,17500,10.74,9.31
Portugal,WESTERN EUROPE,10605870,92391,114.8,5.05,18000,10.72,10.5
Netherlands,WESTERN EUROPE,16491461,41526,397.1,5.04,28600,10.9,8.68
Luxembourg,WESTERN EUROPE,474413,2586,183.5,4.81,55100,11.94,8.41
Canada,NORTHERN AMERICA,33098932,9984670,3.3,4.75,29800,10.78,7.8
Guernsey,WESTERN EUROPE,65409,78,838.6,4.71,20000,8.81,10.01
Liechtenstein,WESTERN EUROPE,33987,160,212.4,4.7,25000,10.21,7.18
Australia,OCEANIA,20264082,7686850,2.6,4.69,29000,12.14,7.51
Belgium,WESTERN EUROPE,10379067,30528,340,4.68,29100,10.38,10.27
Austria,WESTERN EUROPE,8192880,83870,97.7,4.66,30000,8.74,9.76
Denmark,WESTERN EUROPE,5450661,43094,126.5,4.56,31100,11.13,10.36
Slovenia,EASTERN EUROPE,2010347,20273,99.2,4.45,19000,8.98,10.31
Spain,WESTERN EUROPE,40397842,504782,80,4.42,22000,10.06,9.72
Macau,ASIA,453125,28,16183,4.39,19400,8.48,4.47
Switzerland,WESTERN EUROPE,7523934,41290,182.2,4.39,32700,9.71,8.49
France,WESTERN EUROPE,60876136,547030,111.3,4.26,27600,11.99,9.14
Germany,WESTERN EUROPE,82422299,357021,230.9,4.16,27600,8.25,10.62
Andorra,WESTERN EUROPE,71201,468,152.1,4.05,,8.71,6.25
Czech Republic,EASTERN EUROPE,10235455,78866,129.8,3.93,15700,9.02,10.59
Malta,WESTERN EUROPE,400214,316,1266.5,3.89,17700,10.22,8.1
Norway,WESTERN EUROPE,4610820,323802,14.2,3.7,37800,11.46,9.4
Finland,WESTERN EUROPE,5231372,338145,15.5,3.57,27400,10.45,9.86
Iceland,WESTERN EUROPE,299388,103000,2.9,3.31,30900,13.64,6.72
Japan,ASIA,127463611,377835,337.4,3.26,28200,9.37,9.16
Hong Kong,ASIA,6940432,1092,6355.7,2.97,28800,7.29,6.29
Sweden,WESTERN EUROPE,9016596,449964,20,2.77,26800,10.27,10.31
Singapore,ASIA,4492150,693,6482.2,2.29,23700,9.34,4.28
